Complaints,Details
 Late technician arrivals for installations! Unprofessional. Furious!,"{""Topic"": ""Customer Service"", ""Problem"": ""Late technician arrivals"", ""Customer_Dissatisfaction_Index"": 85}"
 Internet router constantly disconnecting! Unreliable service. Frustrated!,"{""Topic"": ""Internet"", ""Problem"": ""Router constantly disconnecting"", ""Customer_Dissatisfaction_Index"": 90}"
 TV channels suddenly unavailable! No explanation. Disappointed!,"{""Topic"": ""TV"", ""Problem"": ""Channels unavailable"", ""Customer_Dissatisfaction_Index"": 85}"
 Phone bill inflated with hidden charges! Unacceptable deceit. Angry!,"{""Topic"": ""Phone"", ""Problem"": ""Bill inflated"", ""Customer_Dissatisfaction_Index"": 85}"
 Slow internet speeds despite high package! Not getting what I paid for. Frustrated!,"{""Topic"": ""Internet"", ""Problem"": ""Slow speeds"", ""Customer_Dissatisfaction_Index"": 80}"
 TV service interrupted during sports events! Unacceptable downtime. Furious!,"{""Topic"": ""TV"", ""Problem"": ""Interruption during sports events"", ""Customer_Dissatisfaction_Index"": 90}"
 Phone support agents unhelpful and rude! No customer care. Annoyed!,"{""Topic"": ""Phone"", ""Problem"": ""Rude support agents"", ""Customer_Dissatisfaction_Index"": 80}"
 Internet service not available in rural areas! Neglecting customers. Disappointed!,"{""Topic"": ""Internet"", ""Problem"": ""Not available in rural areas"", ""Customer_Dissatisfaction_Index"": 95}"
 TV subscription auto-renewal without consent! Sneaky tactics. Furious!,"{""Topic"": ""TV"", ""Problem"": ""Auto-renewal without consent"", ""Customer_Dissatisfaction_Index"": 90}"
 Phone connection dropping during important calls! Unreliable service. Frustrated!,"{""Topic"": ""Phone"", ""Problem"": ""Dropping calls"", ""Customer_Dissatisfaction_Index"": 85}"
 Overpriced packages with poor service quality! Not worth it. Angry!,"{""Topic"": ""Billing"", ""Problem"": ""Overpriced packages"", ""Customer_Dissatisfaction_Index"": 80}"
Internet service not available in rural areas! Neglecting customers. Disappointed!,"{""Topic"": ""Internet"", ""Problem"": ""Not available in rural areas"", ""Customer_Dissatisfaction_Index"": 95}"
TV subscription auto-renewal without consent! Sneaky tactics. Furious!,"{""Topic"": ""TV"", ""Problem"": ""Auto-renewal without consent"", ""Customer_Dissatisfaction_Index"": 90}"
I am sick of this!,"{""Topic"": ""PulseNet General"", ""Problem"": ""General"", ""Customer_Dissatisfaction_Index"": 100}"
I hate this!,"{""Topic"": ""PulseNet General"", ""Problem"": ""General"", ""Customer_Dissatisfaction_Index"": 100}"
This is very bad!,"{""Topic"": ""PulseNet General"", ""Problem"": ""General"", ""Customer_Dissatisfaction_Index"": 100}"
I want my money back! This is really awful!,"{""Topic"": ""PulseNet General"", ""Problem"": ""General"", ""Customer_Dissatisfaction_Index"": 100}"
Cable channels frequently pixelating! Ruining my viewing experience. Infuriated!,"{""Topic"": ""TV"", ""Problem"": ""Pixelating channels"", ""Customer_Dissatisfaction_Index"": 90}"
Constantly dropped calls with no resolution! Unbearable situation. Livid!,"{""Topic"": ""Phone"", ""Problem"": ""Constant dropped calls"", ""Customer_Dissatisfaction_Index"": 85}"
Hidden fees added to my bill without notification! Deceptive practices. Enraged!,"{""Topic"": ""Billing"", ""Problem"": ""Hidden fees"", ""Customer_Dissatisfaction_Index"": 80}"
Inconsistent internet speeds despite promised bandwidth! Misleading information. Furious!,"{""Topic"": ""Internet"", ""Problem"": ""Inconsistent speeds"", ""Customer_Dissatisfaction_Index"": 95}"
DVR recordings missing frequently! Wasting my time and money. Frustrated!,"{""Topic"": ""TV"", ""Problem"": ""Missing DVR recordings"", ""Customer_Dissatisfaction_Index"": 90}"
Poor call quality during international calls! Unacceptable for the price. Disappointed!,"{""Topic"": ""Phone"", ""Problem"": ""Poor call quality"", ""Customer_Dissatisfaction_Index"": 85}"
Incorrect charges on my bill every month! Unreliable billing system. Angry!,"{""Topic"": ""Billing"", ""Problem"": ""Incorrect charges"", ""Customer_Dissatisfaction_Index"": 80}"
This service is terrible! Can't believe I'm paying for this!,"{""Topic"": ""PulseNet General"", ""Problem"": ""General"", ""Customer_Dissatisfaction_Index"": 80}"
This product is a complete waste of money! Disappointed!,"{""Topic"": ""PulseNet General"", ""Problem"": ""General"", ""Customer_Dissatisfaction_Index"": 85}"
I am utterly fed up with this!,"{""Topic"": ""PulseNet General"", ""Problem"": ""General"", ""Customer_Dissatisfaction_Index"": 100}"
